Station_Name,Latitude,Longitude,Number of Bikes,Empty Slots,ll
Guadalupe/West Mall @ University Co-op,30.28576,-97.74181,1,12,"30.28576,-97.74181"
Zilker Park,30.2659,-97.76822,7,7,"30.2659,-97.76822"
8th/San Jacinto,30.26912,-97.73986,0,12,"30.26912,-97.73986"
Nash Hernandez/East @ RBJ South,30.25204,-97.73459,5,5,"30.25204,-97.73459"
22.5/Rio Grande,30.2862,-97.74516,1,4,"30.2862,-97.74516"
Plaza Saltillo,30.26217,-97.72743,7,5,"30.26217,-97.72743"
East 6th/Pedernales,30.25902,-97.71479,6,5,"30.25902,-97.71479"
21st/Guadalupe,30.28395,-97.74198,3,8,"30.28395,-97.74198"
Hollow Creek/Barton Hills,30.26152,-97.77258,5,8,"30.26152,-97.77258"
Rainey/Driskill,30.26078,-97.73808,6,5,"30.26078,-97.73808"
South Congress/Elizabeth,30.24891,-97.75019,4,7,"30.24891,-97.75019"
12th/San Jacinto @ State Capitol Visitors Garage,30.27336,-97.73805,8,5,"30.27336,-97.73805"
5th/Bowie,30.2692,-97.7535,5,8,"30.2692,-97.7535"
Electric Drive/Sandra Muraida Way @ Pfluger Ped Bridge,30.26702,-97.75476,0,17,"30.26702,-97.75476"
6th/Trinity,30.26735,-97.73933,6,5,"30.26735,-97.73933"
Rio Grande/12th,30.27594,-97.74733,0,4,"30.27594,-97.74733"
Barton Springs/Bouldin @ Palmer Auditorium,30.25971,-97.75346,8,7,"30.25971,-97.75346"
East 11th/San Marcos,30.26968,-97.73074,2,7,"30.26968,-97.73074"
East 11th/Victory Grill,30.26896,-97.72843,2,7,"30.26896,-97.72843"
Barton Springs/Riverside,30.25866,-97.74895,4,3,"30.25866,-97.74895"
13th/Trinity @ Waterloo Greenway,30.2741,-97.73666,5,6,"30.2741,-97.73666"
23rd/San Jacinto @ DKR Stadium,30.2856,-97.7335,12,9,"30.2856,-97.7335"
3rd/Nueces,30.26709,-97.74947,2,9,"30.26709,-97.74947"
Rainey/Cummings,30.25579,-97.73982,1,14,"30.25579,-97.73982"
South Congress/James,30.25103,-97.74926,7,2,"30.25103,-97.74926"
21st/Speedway @ PCL,30.28298,-97.73731,3,18,"30.28298,-97.73731"
23rd/Pearl,30.28731,-97.7465,1,10,"30.28731,-97.7465"
11th/Salina ,30.2664,-97.72164,5,6,"30.2664,-97.72164"
Rosewood/Chicon,30.26976,-97.7184,3,8,"30.26976,-97.7184"
Veterans/Atlanta @ MoPac Ped Bridge,30.27449,-97.7699,7,11,"30.27449,-97.7699"
10th/Red River,30.27018,-97.73531,6,7,"30.27018,-97.73531"
5th/Campbell,30.27454,-97.7645,3,8,"30.27454,-97.7645"
Dean Keeton/Whitis,30.2898,-97.74041,2,15,"30.2898,-97.74041"
Rosewood/Angelina,30.26908,-97.72429,3,7,"30.26908,-97.72429"
6th/Lavaca,30.26889,-97.74525,2,10,"30.26889,-97.74525"
6th/Brazos,30.26756,-97.7415,7,4,"30.26756,-97.7415"
East 4th/Chicon,30.25968,-97.72321,1,7,"30.25968,-97.72321"
East 2nd/Pedernales,30.25544,-97.71677,6,4,"30.25544,-97.71677"
26th/Nueces,30.29068,-97.74292,3,9,"30.29068,-97.74292"
Barton Springs/Kinney,30.262,-97.76118,2,14,"30.262,-97.76118"
East 6th/Medina,30.26455,-97.73165,4,6,"30.26455,-97.73165"
3rd/West,30.2678,-97.75189,7,4,"30.2678,-97.75189"
Riverside/South Lamar,30.26437,-97.75624,0,0,"30.26437,-97.75624"
South Congress/Academy,30.25222,-97.74881,5,5,"30.25222,-97.74881"
8th/Red River,30.26854,-97.73646,5,8,"30.26854,-97.73646"
Barton Springs Pool,30.26452,-97.77132,2,10,"30.26452,-97.77132"
Cesar Chavez/Congress,30.26332,-97.74508,6,4,"30.26332,-97.74508"
6th/Chalmers,30.2627,-97.7243,1,12,"30.2627,-97.7243"
3rd/Trinity @ The Convention Center,30.26428,-97.74033,2,9,"30.26428,-97.74033"
Lakeshore/Pleasant Valley,30.24269,-97.7176,0,0,"30.24269,-97.7176"
4th/Sabine,30.26438,-97.73657,3,14,"30.26438,-97.73657"
16th/San Antonio,30.27924,-97.74371,3,9,"30.27924,-97.74371"
6th/Congress,30.26822,-97.74285,3,8,"30.26822,-97.74285"
East 6th/Robert T. Martinez,30.26032,-97.71899,6,6,"30.26032,-97.71899"
East 5th/Broadway @ Capital Metro HQ,30.2563,-97.71007,8,5,"30.2563,-97.71007"
6th/West,30.27041,-97.75046,4,9,"30.27041,-97.75046"
