Station Name,Latitude,Number_Of_Bikes,Empty Slots,ll,name,category,latitude,longitude,distance,bike_location,rating,popularity,price,review_count
Lake Austin Blvd/Deep Eddy,30.27807,7,4,"30.27807,-97.77272","John Howard, Lpc, Lmft",Restaurant,30.278845,-97.772118,103,"30.27807,-97.77272",,,,
Lake Austin Blvd/Deep Eddy,30.27807,7,4,"30.27807,-97.77272",Tumble 22,Fried Chicken Joint,30.277855,-97.771443,110,"30.27807,-97.77272",7.9,0.993028684,1,
Sterzing/Barton Springs,30.26406,2,7,"30.26406,-97.76385",Holla Mode Thai Style Ice Cream,Ice Cream Parlor,30.264249,-97.763682,15,"30.26406,-97.76385",6.9,0.956265084,1,
Sterzing/Barton Springs,30.26406,2,7,"30.26406,-97.76385",Chuy's,Tex-Mex Restaurant,30.26377,-97.763204,55,"30.26406,-97.76385",8.8,0.995877349,2,
Sterzing/Barton Springs,30.26406,2,7,"30.26406,-97.76385",Four Brothers,Vegan and Vegetarian Restaurant,30.263827,-97.76285,99,"30.26406,-97.76385",,,,
Sterzing/Barton Springs,30.26406,2,7,"30.26406,-97.76385",Cannone Cucina Italiano,Pizzeria,30.263827,-97.76285,99,"30.26406,-97.76385",,,,
Sterzing/Barton Springs,30.26406,2,7,"30.26406,-97.76385",Have A Taco,Mexican Restaurant,30.26365,-97.762898,102,"30.26406,-97.76385",,,,
Sterzing/Barton Springs,30.26406,2,7,"30.26406,-97.76385",Acai Hut,Restaurant,30.263827,-97.76285,107,"30.26406,-97.76385",,0.375564787,1,
Sterzing/Barton Springs,30.26406,2,7,"30.26406,-97.76385",The Original New Orleans Po-Boy and Gumbo Shop,Cajun / Creole Restaurant,30.263598,-97.762954,111,"30.26406,-97.76385",7.4,0.133032641,1,
Sterzing/Barton Springs,30.26406,2,7,"30.26406,-97.76385",Mighty Fine Burgers Fries & Shakes,Burger Joint,30.26358,-97.762819,112,"30.26406,-97.76385",,,,
Sterzing/Barton Springs,30.26406,2,7,"30.26406,-97.76385",Big Easy Bar and Grill,Restaurant,30.263501,-97.762817,117,"30.26406,-97.76385",,,,
Sterzing/Barton Springs,30.26406,2,7,"30.26406,-97.76385",Dock & Roll Diner,Diner,30.263827,-97.76285,121,"30.26406,-97.76385",7.8,0.015897132,1,
Sterzing/Barton Springs,30.26406,2,7,"30.26406,-97.76385",Umlauf Sculpture Garden and Museum,Museum,30.264197,-97.76514,124,"30.26406,-97.76385",,,,
Sterzing/Barton Springs,30.26406,2,7,"30.26406,-97.76385",Pop Art,Ice Cream Parlor,30.263402,-97.762778,126,"30.26406,-97.76385",,,,
Sterzing/Barton Springs,30.26406,2,7,"30.26406,-97.76385",The Mighty Cone,Ice Cream Parlor,30.26358,-97.762819,380,"30.26406,-97.76385",8,0.625495549,1,
Sterzing/Barton Springs,30.26406,2,7,"30.26406,-97.76385",Daily Juice,Deli,30.263702,-97.763215,721,"30.26406,-97.76385",,0.788716123,1,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",Newk's Franchise,Restaurant,30.266599,-97.743545,36,"30.26634,-97.74378",,,,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",The Bar At The Fish Factory,Bar,30.266273,-97.743211,41,"30.26634,-97.74378",,0.731038576,2,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",Modern Market Eatery,Restaurant,30.266273,-97.743211,45,"30.26634,-97.74378",8.5,0.979054402,3,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",Speakeasy,Night Club,30.266777,-97.743616,49,"30.26634,-97.74378",7.2,0.985661721,,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",RA Sushi Bar Restaurant,Bar,30.266383,-97.744574,62,"30.26634,-97.74378",7.4,0.982828882,2,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",Terrace 59,Arts and Entertainment,30.266906,-97.743803,62,"30.26634,-97.74378",,0.621816024,,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",Swift's Attic,Gastropub,30.265611,-97.743452,73,"30.26634,-97.74378",8,0.942860534,3,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",Houndstooth Coffee,Coffee Shop,30.266298,-97.743138,74,"30.26634,-97.74378",8.9,0.995204748,1,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",Appleseed,Restaurant,30.265772,-97.743358,74,"30.26634,-97.74378",,,,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",Elephant Room,Night Club,30.265611,-97.743452,76,"30.26634,-97.74378",8.8,0.959002967,,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",Mort Subite,Beer Bar,30.265843,-97.743899,76,"30.26634,-97.74378",8.6,0.960221563,,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",Parker Jazz Club,Jazz and Blues Venue,30.266222,-97.744668,79,"30.26634,-97.74378",7.6,0.961218595,2,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",Benihana,Restaurant,30.26633,-97.74464,82,"30.26634,-97.74378",,,,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",Saperlipopette,Restaurant,30.265614,-97.744003,83,"30.26634,-97.74378",,,,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",Tap Room,Beer Bar,30.266222,-97.744668,86,"30.26634,-97.74378",,,,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",Lost Lei,Cocktail Bar,30.266265,-97.744731,93,"30.26634,-97.74378",5.8,0.839873393,,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",Shiner's Saloon,Dive Bar,30.26687,-97.743532,97,"30.26634,-97.74378",8.1,0.977938675,1,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",TenOak bourbon house + lounge,Cocktail Bar,30.266995,-97.744479,98,"30.26634,-97.74378",,,,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",B-Side Lounge & Tap Room,Bar,30.26595,-97.74471,99,"30.26634,-97.74378",,,,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",Mexic-Arte Museum,Art Museum,30.266824,-97.742918,101,"30.26634,-97.74378",7.6,0.969867458,,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",Tacodeli,Taco Restaurant,30.265296,-97.743431,110,"30.26634,-97.74378",8.3,0.984545994,1,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",Chinatown Westlake,Chinese Restaurant,30.267153,-97.743061,113,"30.26634,-97.74378",,,,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",Neon Grotto,Bar,30.266417,-97.745004,116,"30.26634,-97.74378",,0.962745796,2,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",Be More Pacific,Asian Restaurant,30.267292,-97.744364,119,"30.26634,-97.74378",,,,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",Truluck's,Seafood Restaurant,30.266751,-97.745,123,"30.26634,-97.74378",9,0.978777448,4,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",Chi’lantro,Korean Restaurant,30.265857,-97.744794,123,"30.26634,-97.74378",,0.939086053,2,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",Summit,Night Club,30.267621,-97.743968,124,"30.26634,-97.74378",7.1,0.960174085,2,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",House of the Rising Tanuki - San,Asian Restaurant,30.267578,-97.743905,124,"30.26634,-97.74378",,0.86520277,2,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",Highland Lounge,Night Club,30.266912,-97.744906,125,"30.26634,-97.74378",7.9,0.987608309,2,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",The Vaughn,Music Venue,30.266021,-97.745252,128,"30.26634,-97.74378",,0.371442136,,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",Coconut Club,Night Club,30.26625,-97.745147,132,"30.26634,-97.74378",6.8,0.986421365,3,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",Cuatro Gato,Coffee Shop,30.266233,-97.745165,133,"30.26634,-97.74378",,0.877309594,1,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",Arepa Dealers,Southern / Soul Food Restaurant,30.266118,-97.745165,135,"30.26634,-97.74378",,,,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",Red Ash,Italian Restaurant,30.265807,-97.74494,141,"30.26634,-97.74378",9.1,0.992308605,2,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",Oilcan,Night Club,30.26654,-97.74524,147,"30.26634,-97.74378",7.7,0.990330366,1,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",Texas Tavern,Restaurant,30.26688,-97.745187,147,"30.26634,-97.74378",,,,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",Péché,Cocktail Bar,30.26688,-97.745187,152,"30.26634,-97.74378",8.8,0.976007913,3,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",Sully's SideBar,Bar,30.265953,-97.745262,153,"30.26634,-97.74378",5.5,0.894512364,4,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",OneTaco Taqueria,Taco Restaurant,30.266123,-97.742337,156,"30.26634,-97.74378",6.5,0.896997033,1,
4th/Congress,30.26634,7,6,"30.26634,-97.74378",Fourth & Co.,Cocktail Bar,30.26688,-97.745187,168,"30.26634,-97.74378",,0.910544016,2,
2nd/Congress,30.26408,5,8,"30.26408,-97.74355",JW Marriott Lobby Bar,Hotel Bar,30.264242,-97.743319,35,"30.26408,-97.74355",8.3,0.991723046,3,
2nd/Congress,30.26408,5,8,"30.26408,-97.74355",Taco Pegaso,Taco Restaurant,30.263693,-97.743643,43,"30.26408,-97.74355",,,,
2nd/Congress,30.26408,5,8,"30.26408,-97.74355",Dean's Italian Steakhouse,Steakhouse,30.26454,-97.743186,49,"30.26408,-97.74355",,0.957673591,4,
2nd/Congress,30.26408,5,8,"30.26408,-97.74355",Ellis,Bar,30.263605,-97.743487,50,"30.26408,-97.74355",7.6,0.959050445,2,
2nd/Congress,30.26408,5,8,"30.26408,-97.74355",Corner (Austin),Restaurant,30.264345,-97.743995,51,"30.26408,-97.74355",,,,
2nd/Congress,30.26408,5,8,"30.26408,-97.74355",Edge Rooftop + Bar,Lounge,30.264456,-97.743631,53,"30.26408,-97.74355",,0.917634026,2,
2nd/Congress,30.26408,5,8,"30.26408,-97.74355",Austin Rotisserie,Comfort Food Restaurant,30.2636,-97.743611,56,"30.26408,-97.74355",,0.888379822,3,
2nd/Congress,30.26408,5,8,"30.26408,-97.74355",Corner,Bar,30.264499,-97.743693,60,"30.26408,-97.74355",8,0.993851632,2,
2nd/Congress,30.26408,5,8,"30.26408,-97.74355",Osteria Pronto (Austin),Restaurant,30.264335,-97.743236,64,"30.26408,-97.74355",,0.940352127,2,
2nd/Congress,30.26408,5,8,"30.26408,-97.74355",Little Wu,Chinese Restaurant,30.263551,-97.743594,66,"30.26408,-97.74355",,0.932336301,1,
2nd/Congress,30.26408,5,8,"30.26408,-97.74355",Italic,Italian Restaurant,30.263487,-97.743644,69,"30.26408,-97.74355",,0.759351137,2,
2nd/Congress,30.26408,5,8,"30.26408,-97.74355",TLV Israeli Street food,Israeli Restaurant,30.263605,-97.743487,70,"30.26408,-97.74355",8.8,0.95951731,,
2nd/Congress,30.26408,5,8,"30.26408,-97.74355",Burger Bar On Congress,Burger Joint,30.264574,-97.743475,80,"30.26408,-97.74355",7.7,0.942987141,1,
2nd/Congress,30.26408,5,8,"30.26408,-97.74355",Fareground,Restaurant,30.263465,-97.744268,86,"30.26408,-97.74355",9.1,0.994919881,2,
2nd/Congress,30.26408,5,8,"30.26408,-97.74355",Cedar Door,Pool Hall,30.264135,-97.742508,86,"30.26408,-97.74355",7.9,0.98448269,2,
2nd/Congress,30.26408,5,8,"30.26408,-97.74355",Henbit,American Restaurant,30.263648,-97.74355,86,"30.26408,-97.74355",7.6,0.900447082,3,
2nd/Congress,30.26408,5,8,"30.26408,-97.74355",The Austonian Club,Cocktail Bar,30.264494,-97.744347,89,"30.26408,-97.74355",,0.048087043,3,
2nd/Congress,30.26408,5,8,"30.26408,-97.74355",Cedar Door Patio Bar & Grill,Restaurant,30.26411,-97.74258,92,"30.26408,-97.74355",,0.885808111,2,
2nd/Congress,30.26408,5,8,"30.26408,-97.74355",Chi'Lantro,Fast Food Restaurant,30.264613,-97.744297,92,"30.26408,-97.74355",,,,
2nd/Congress,30.26408,5,8,"30.26408,-97.74355",Foxy's Proper Pub,Restaurant,30.264153,-97.742643,94,"30.26408,-97.74355",,0.937234421,2,
2nd/Congress,30.26408,5,8,"30.26408,-97.74355",Cooper's Old Time Pit Bar-B-Que,Restaurant,30.264813,-97.743714,100,"30.26408,-97.74355",8.5,0.993930762,2,
2nd/Congress,30.26408,5,8,"30.26408,-97.74355",P6,Bar,30.263155,-97.744007,111,"30.26408,-97.74355",,0.915481701,2,
2nd/Congress,30.26408,5,8,"30.26408,-97.74355",Llano Lounge,Lounge,30.26491,-97.744182,115,"30.26408,-97.74355",,0.884834817,3,
2nd/Congress,30.26408,5,8,"30.26408,-97.74355",Medusa,Lounge,30.264885,-97.744255,116,"30.26408,-97.74355",6.8,0.340866469,3,
2nd/Congress,30.26408,5,8,"30.26408,-97.74355",P6,Cocktail Bar,30.262868,-97.743947,122,"30.26408,-97.74355",7.4,0.97236004,3,
2nd/Congress,30.26408,5,8,"30.26408,-97.74355",Rising Roll Cafe- Austin,Deli,30.264097,-97.74486,123,"30.26408,-97.74355",,0.885736894,1,
2nd/Congress,30.26408,5,8,"30.26408,-97.74355",Mason's Famous Lobster Rolls,Seafood Restaurant,30.264604,-97.744509,128,"30.26408,-97.74355",,0.972344214,3,
2nd/Congress,30.26408,5,8,"30.26408,-97.74355",Sanjay & Sanjay's Bar,Bar,30.264618,-97.742225,140,"30.26408,-97.74355",,,,
2nd/Congress,30.26408,5,8,"30.26408,-97.74355",Tacodeli,Taco Restaurant,30.265296,-97.743431,143,"30.26408,-97.74355",8.3,0.984545994,1,
2nd/Congress,30.26408,5,8,"30.26408,-97.74355",Rainmaker Document Tech,Deli,30.265364,-97.743421,143,"30.26408,-97.74355",,,,
2nd/Congress,30.26408,5,8,"30.26408,-97.74355",Veracruz All Natural,Taco Restaurant,30.263007,-97.744477,162,"30.26408,-97.74355",7.9,0.990037587,1,
Guadalupe/West Mall @ University Co-op,30.28576,1,12,"30.28576,-97.74181",Sweetgreen,Restaurant,30.285804,-97.74197,16,"30.28576,-97.74181",,,,
Guadalupe/West Mall @ University Co-op,30.28576,1,12,"30.28576,-97.74181",Chipotle Mexican Grill,Fast Food Restaurant,30.285643,-97.742064,24,"30.28576,-97.74181",6.6,0.988676558,1,
Guadalupe/West Mall @ University Co-op,30.28576,1,12,"30.28576,-97.74181",Caffe Medici,Café,30.285473,-97.741958,37,"30.28576,-97.74181",7.4,0.975992087,1,
Guadalupe/West Mall @ University Co-op,30.28576,1,12,"30.28576,-97.74181",Austaco,Restaurant,30.285418,-97.741409,54,"30.28576,-97.74181",,,,
Guadalupe/West Mall @ University Co-op,30.28576,1,12,"30.28576,-97.74181",BibiBowl,Asian Restaurant,30.286347,-97.741886,65,"30.28576,-97.74181",,,,
Guadalupe/West Mall @ University Co-op,30.28576,1,12,"30.28576,-97.74181",Gourdough's Food Truck,Bagel Shop,30.286315,-97.742167,70,"30.28576,-97.74181",,,,
Guadalupe/West Mall @ University Co-op,30.28576,1,12,"30.28576,-97.74181",Masala Dhaba,Indian Restaurant,30.28629,-97.74224,71,"30.28576,-97.74181",,,,
Guadalupe/West Mall @ University Co-op,30.28576,1,12,"30.28576,-97.74181",Gyro House,Restaurant,30.286238,-97.742509,85,"30.28576,-97.74181",,,,
Guadalupe/West Mall @ University Co-op,30.28576,1,12,"30.28576,-97.74181",The Gypsy Kit Atx,Sandwich Restaurant,30.286096,-97.742615,85,"30.28576,-97.74181",,,,
Guadalupe/West Mall @ University Co-op,30.28576,1,12,"30.28576,-97.74181",Kebab Time,Mediterranean Restaurant,30.286096,-97.742615,85,"30.28576,-97.74181",,,,
Guadalupe/West Mall @ University Co-op,30.28576,1,12,"30.28576,-97.74181",Maggie's Waffles,Vegan and Vegetarian Restaurant,30.286096,-97.742615,86,"30.28576,-97.74181",,0.667125618,2,
Guadalupe/West Mall @ University Co-op,30.28576,1,12,"30.28576,-97.74181",Momora Austin Food,Restaurant,30.286224,-97.742559,88,"30.28576,-97.74181",,,,
Guadalupe/West Mall @ University Co-op,30.28576,1,12,"30.28576,-97.74181",Ice Scrapers,Ice Cream Parlor,30.286121,-97.742542,93,"30.28576,-97.74181",,0.864830861,1,
Guadalupe/West Mall @ University Co-op,30.28576,1,12,"30.28576,-97.74181",Pizza On Point,Pizzeria,30.286096,-97.742615,96,"30.28576,-97.74181",,0.303382789,1,
Guadalupe/West Mall @ University Co-op,30.28576,1,12,"30.28576,-97.74181",Dollar Slice Club,Pizzeria,30.286652,-97.74198,100,"30.28576,-97.74181",,,,
Guadalupe/West Mall @ University Co-op,30.28576,1,12,"30.28576,-97.74181",Potbelly Sandwich Shop,Restaurant,30.286798,-97.741885,115,"30.28576,-97.74181",7.9,0.989531157,1,
Guadalupe/West Mall @ University Co-op,30.28576,1,12,"30.28576,-97.74181",Field Of Greens,Salad Restaurant,30.286212,-97.740595,115,"30.28576,-97.74181",,0.206884273,1,
Guadalupe/West Mall @ University Co-op,30.28576,1,12,"30.28576,-97.74181",Chick'nCone,Restaurant,30.287015,-97.741827,139,"30.28576,-97.74181",,,,
Guadalupe/West Mall @ University Co-op,30.28576,1,12,"30.28576,-97.74181",Burger FI,Restaurant,30.287095,-97.74177,148,"30.28576,-97.74181",,,,
Guadalupe/West Mall @ University Co-op,30.28576,1,12,"30.28576,-97.74181",The H.J. Lutcher Stark Center,Museum,30.286279,-97.741896,903,"30.28576,-97.74181",,0.899552918,,
Guadalupe/West Mall @ University Co-op,30.28576,1,12,"30.28576,-97.74181",ATX Gyro,Halal Restaurant,30.28629,-97.74224,3241,"30.28576,-97.74181",,0.906650841,1,
Guadalupe/West Mall @ University Co-op,30.28576,1,12,"30.28576,-97.74181",Song La,Asian Restaurant,30.286096,-97.742615,12161,"30.28576,-97.74181",7.9,0.906611276,1,
Plaza Saltillo,30.26217,6,6,"30.26217,-97.72743",Sock Club,Bar,30.261851,-97.727263,38,"30.26217,-97.72743",,,,
Plaza Saltillo,30.26217,6,6,"30.26217,-97.72743",The Good Vegan,Vegan and Vegetarian Restaurant,30.261851,-97.727263,38,"30.26217,-97.72743",,,,
Plaza Saltillo,30.26217,6,6,"30.26217,-97.72743",Halal Time,Fast Food Restaurant,30.262702,-97.727407,55,"30.26217,-97.72743",,0.888506429,,
Plaza Saltillo,30.26217,6,6,"30.26217,-97.72743",The White Horse,Night Club,30.262513,-97.727022,57,"30.26217,-97.72743",8.8,0.981531157,1,
Plaza Saltillo,30.26217,6,6,"30.26217,-97.72743",Bomb Tacos,Taco Restaurant,30.262581,-97.727012,57,"30.26217,-97.72743",5.7,0.877285856,1,
Plaza Saltillo,30.26217,6,6,"30.26217,-97.72743",Glory Hole Hot Dogs,Hot Dog Joint,30.262745,-97.727469,64,"30.26217,-97.72743",,,,
Plaza Saltillo,30.26217,6,6,"30.26217,-97.72743",Ma'Coco,Taco Restaurant,30.262227,-97.726084,69,"30.26217,-97.72743",,0.937503462,1,
Plaza Saltillo,30.26217,6,6,"30.26217,-97.72743",The Eastern,Night Club,30.262903,-97.726824,91,"30.26217,-97.72743",6.9,0.859481701,1,
Plaza Saltillo,30.26217,6,6,"30.26217,-97.72743",Cisco's Liars Club,Night Club,30.262971,-97.726813,106,"30.26217,-97.72743",,,,
Plaza Saltillo,30.26217,6,6,"30.26217,-97.72743",Cisco's Restaurant & Bakery,Bakery,30.262903,-97.726824,107,"30.26217,-97.72743",7.3,0.962334322,1,
Plaza Saltillo,30.26217,6,6,"30.26217,-97.72743",Texas Coffee Traders,Coffee Shop,30.26204,-97.728959,120,"30.26217,-97.72743",9,0.94771909,1,
Plaza Saltillo,30.26217,6,6,"30.26217,-97.72743",La Matta,Italian Restaurant,30.262366,-97.7267,120,"30.26217,-97.72743",8.3,0.595252226,1,
Plaza Saltillo,30.26217,6,6,"30.26217,-97.72743",Il Brutto,Cocktail Bar,30.26267,-97.726377,130,"30.26217,-97.72743",7.8,0.965990109,2,
Plaza Saltillo,30.26217,6,6,"30.26217,-97.72743",The Volstead Lounge,Night Club,30.263389,-97.727093,144,"30.26217,-97.72743",7.6,0.945210682,2,
Plaza Saltillo,30.26217,6,6,"30.26217,-97.72743",Rollin' Smoke BBQ Chuckwagon,Restaurant,30.263492,-97.727353,144,"30.26217,-97.72743",7.3,0.448181998,1,
Plaza Saltillo,30.26217,6,6,"30.26217,-97.72743",LoLo,Wine Bar,30.263414,-97.72702,154,"30.26217,-97.72743",8.7,0.946437191,2,
Plaza Saltillo,30.26217,6,6,"30.26217,-97.72743",Little Plaza Tacos,Mexican Restaurant,30.262702,-97.727407,155,"30.26217,-97.72743",7.6,0.870005935,1,
Plaza Saltillo,30.26217,6,6,"30.26217,-97.72743",Rollin Smoke BBQ,BBQ Joint,30.262702,-97.727407,1158,"30.26217,-97.72743",7.4,0.941143422,1,
21st/Guadalupe,30.28395,2,9,"30.28395,-97.74198",Teji's Indian Restaurant and Grocery,Restaurant,30.284019,-97.74211,7,"30.28395,-97.74198",7.8,0.903256182,1,
21st/Guadalupe,30.28395,2,9,"30.28395,-97.74198",Teji's,Indian Restaurant,30.283997,-97.742182,20,"30.28395,-97.74198",,,,
21st/Guadalupe,30.28395,2,9,"30.28395,-97.74198",Sarovar Express,Restaurant,30.28354,-97.741632,56,"30.28395,-97.74198",,,,
21st/Guadalupe,30.28395,2,9,"30.28395,-97.74198",Oma's Kitchen,Korean Restaurant,30.282835,-97.74181,69,"30.28395,-97.74198",,0.907972305,2,
21st/Guadalupe,30.28395,2,9,"30.28395,-97.74198",Mr. Delivery,Restaurant,30.283323,-97.741847,70,"30.28395,-97.74198",,,,
21st/Guadalupe,30.28395,2,9,"30.28395,-97.74198",Dobie Center,Ice Cream Parlor,30.283497,-97.741569,73,"30.28395,-97.74198",,0.989800198,,
21st/Guadalupe,30.28395,2,9,"30.28395,-97.74198",Everest Cuisine,Indian Restaurant,30.283411,-97.741445,78,"30.28395,-97.74198",,,,
21st/Guadalupe,30.28395,2,9,"30.28395,-97.74198",Burrito Factory,Latin American Restaurant,30.283064,-97.741706,84,"30.28395,-97.74198",7.1,0.934148368,1,
21st/Guadalupe,30.28395,2,9,"30.28395,-97.74198",Harry Ransom Center,Art Museum,30.284141,-97.741193,91,"30.28395,-97.74198",9.2,0.960648863,,
21st/Guadalupe,30.28395,2,9,"30.28395,-97.74198",Niki's Pizza,Pizzeria,30.283064,-97.741706,119,"30.28395,-97.74198",,0.474468843,1,
21st/Guadalupe,30.28395,2,9,"30.28395,-97.74198",Poke Bay,Hawaiian Restaurant,30.282835,-97.74181,122,"30.28395,-97.74198",,0.851006924,,
21st/Guadalupe,30.28395,2,9,"30.28395,-97.74198",Sushi Caliente,Sushi Restaurant,30.282835,-97.74181,124,"30.28395,-97.74198",,,,
21st/Guadalupe,30.28395,2,9,"30.28395,-97.74198",K-Bop,Korean Restaurant,30.282814,-97.742435,125,"30.28395,-97.74198",6.7,0.955188922,2,
21st/Guadalupe,30.28395,2,9,"30.28395,-97.74198",Austin C Bombay,Restaurant,30.282821,-97.742227,127,"30.28395,-97.74198",,,,
21st/Guadalupe,30.28395,2,9,"30.28395,-97.74198",Heat,Restaurant,30.282726,-97.742401,141,"30.28395,-97.74198",,,,
8th/San Jacinto,30.26912,1,11,"30.26912,-97.73986",The Good Capitalist Party,Cocktail Bar,30.269312,-97.739425,46,"30.26912,-97.73986",,,,
8th/San Jacinto,30.26912,1,11,"30.26912,-97.73986",Ancho's Restaurant,Restaurant,30.268678,-97.740145,51,"30.26912,-97.73986",6.5,0.878298714,3,
8th/San Jacinto,30.26912,1,11,"30.26912,-97.73986",Omni Hotel Atrium Lounge,Hotel Bar,30.269154,-97.740071,52,"30.26912,-97.73986",5.7,0.989380811,3,
8th/San Jacinto,30.26912,1,11,"30.26912,-97.73986",Jackrabbit,Restaurant,30.268977,-97.74039,53,"30.26912,-97.73986",,,,
8th/San Jacinto,30.26912,1,11,"30.26912,-97.73986",Holy Grounds,Coffee Shop,30.268503,-97.739344,62,"30.26912,-97.73986",8,0.907695351,1,
8th/San Jacinto,30.26912,1,11,"30.26912,-97.73986",Ancho's,Bar,30.268653,-97.740218,68,"30.26912,-97.73986",,0.303414441,2,
8th/San Jacinto,30.26912,1,11,"30.26912,-97.73986",Baxter's Bistro,Restaurant,30.26877,-97.740906,107,"30.26912,-97.73986",,,,
8th/San Jacinto,30.26912,1,11,"30.26912,-97.73986",Cafe Divine,Café,30.268342,-97.739438,108,"30.26912,-97.73986",,0.914635015,1,
8th/San Jacinto,30.26912,1,11,"30.26912,-97.73986",Lucky Lab Coffee Co.,Coffee Shop,30.269321,-97.74108,115,"30.26912,-97.73986",,0.897440158,1,
8th/San Jacinto,30.26912,1,11,"30.26912,-97.73986",Product Test,Cajun / Creole Restaurant,30.26924,-97.741157,125,"30.26912,-97.73986",,,,
8th/San Jacinto,30.26912,1,11,"30.26912,-97.73986",Biderman's Deli,Bagel Shop,30.26984,-97.741069,150,"30.26912,-97.73986",7.2,0.243663699,1,
