Station_Name,Latitude,Longitude,Number of Bikes,Empty Slots,ll,name,category,latitude,longitude,distance,bike_location,rating,popularity,price,review_count
22nd/Pearl,30.2854,-97.74673,0,11,"30.2854,-97.74673",UTea Pho,Sandwich Restaurant,30.286395,-97.745676,136.0,"30.2854,-97.74673",,0.9855588526211672,2.0,
9th/Henderson,30.27217,-97.75246,5,8,"30.27217,-97.75246",G-M Steakhouse,Restaurant,30.272779,-97.753659,133.0,"30.27217,-97.75246",,,,
9th/Henderson,30.27217,-97.75246,5,8,"30.27217,-97.75246",Frozen Rolls Creamery,Ice Cream Parlor,30.273169,-97.753461,136.0,"30.27217,-97.75246",,0.9716083086053412,1.0,
South Congress @ Bouldin Creek,30.25495,-97.74755,4,7,"30.25495,-97.74755",Prim and Proper,Cocktail Bar,30.254268,-97.74763,76.0,"30.25495,-97.74755",,,,
South Congress @ Bouldin Creek,30.25495,-97.74755,4,7,"30.25495,-97.74755",Aba Austin,Bar,30.253742,-97.74785,114.0,"30.25495,-97.74755",8.9,0.9922769535113748,4.0,
South Congress @ Bouldin Creek,30.25495,-97.74755,4,7,"30.25495,-97.74755",sweetgreen,Restaurant,30.253771,-97.747017,119.0,"30.25495,-97.74755",7.6,0.960166172106825,2.0,
South Congress @ Bouldin Creek,30.25495,-97.74755,4,7,"30.25495,-97.74755",Freebirds World Burrito,Fast Food Restaurant,30.25592,-97.746752,129.0,"30.25495,-97.74755",7.8,0.9708803165182988,1.0,
South Congress/Mary,30.24496,-97.75127,4,7,"30.24496,-97.75127",Torchy’S Tacos,Mexican Restaurant,30.245541,-97.751677,63.0,"30.24496,-97.75127",8.8,0.9918496538081109,2.0,
South Congress/Mary,30.24496,-97.75127,4,7,"30.24496,-97.75127",Magnolia Cafe South,Restaurant,30.244454,-97.751846,71.0,"30.24496,-97.75127",8.4,0.9821167161226508,2.0,
South Congress/Mary,30.24496,-97.75127,4,7,"30.24496,-97.75127",Magnolia Cafe's Office,Diner,30.244194,-97.751981,109.0,"30.24496,-97.75127",,,,
South Congress/Mary,30.24496,-97.75127,4,7,"30.24496,-97.75127",Big Vinny's BBQ,BBQ Joint,30.245913,-97.751343,4985.0,"30.24496,-97.75127",,0.1320593471810089,2.0,
4th/Guadalupe @ Republic Square,30.26727,-97.74718,6,9,"30.26727,-97.74718",GFY Kitchen,Bakery,30.267365,-97.746769,40.0,"30.26727,-97.74718",,,,
4th/Guadalupe @ Republic Square,30.26727,-97.74718,6,9,"30.26727,-97.74718",Domino's Pizza,Pizzeria,30.267755,-97.74657,76.0,"30.26727,-97.74718",6.5,0.7092700296735905,1.0,
4th/Guadalupe @ Republic Square,30.26727,-97.74718,6,9,"30.26727,-97.74718",Perfect Strangers,Restaurant,30.267122,-97.745978,94.0,"30.26727,-97.74718",,0.9869910979228488,2.0,
4th/Guadalupe @ Republic Square,30.26727,-97.74718,6,9,"30.26727,-97.74718",Macs Meals,Café,30.266567,-97.747031,100.0,"30.26727,-97.74718",,0.0346271018793273,1.0,
4th/Guadalupe @ Republic Square,30.26727,-97.74718,6,9,"30.26727,-97.74718",The Roosevelt Room & E,Music Venue,30.267634,-97.746175,110.0,"30.26727,-97.74718",9.1,0.9938991097922848,3.0,
4th/Guadalupe @ Republic Square,30.26727,-97.74718,6,9,"30.26727,-97.74718",Rebels Honky Tonk,Night Club,30.267752,-97.746018,123.0,"30.26727,-97.74718",,,,
4th/Guadalupe @ Republic Square,30.26727,-97.74718,6,9,"30.26727,-97.74718",Hudson On Fifth,Wine Bar,30.267709,-97.745956,127.0,"30.26727,-97.74718",,,,
4th/Guadalupe @ Republic Square,30.26727,-97.74718,6,9,"30.26727,-97.74718",The Eleanor,Night Club,30.267702,-97.746164,135.0,"30.26727,-97.74718",6.8,0.8760356083086054,1.0,
4th/Guadalupe @ Republic Square,30.26727,-97.74718,6,9,"30.26727,-97.74718",Turf N Surf Po' Boy,American Restaurant,30.267044,-97.745645,139.0,"30.26727,-97.74718",8.7,0.8883165182987142,2.0,
4th/Guadalupe @ Republic Square,30.26727,-97.74718,6,9,"30.26727,-97.74718",Lavaca Street Bar & Grill,Bar,30.267121,-97.745692,140.0,"30.26727,-97.74718",7.5,0.986587537091988,2.0,
4th/Guadalupe @ Republic Square,30.26727,-97.74718,6,9,"30.26727,-97.74718",Group Therapy,Restaurant,30.267122,-97.745978,187.0,"30.26727,-97.74718",,0.9745281899109792,2.0,
21st/University,30.28354,-97.73953,0,18,"30.28354,-97.73953",Gyro Delicious,Mediterranean Restaurant,30.283313,-97.74058,103.0,"30.28354,-97.73953",,,,
21st/University,30.28354,-97.73953,0,18,"30.28354,-97.73953",Asian Kaoboy,Asian Restaurant,30.283194,-97.740581,107.0,"30.28354,-97.73953",,,,
21st/University,30.28354,-97.73953,0,18,"30.28354,-97.73953",Greenade,Asian Restaurant,30.283194,-97.740581,107.0,"30.28354,-97.73953",,,,
8th/Lavaca,30.27048,-97.74467,2,7,"30.27048,-97.74467",Murphy's Deli,Deli,30.270356,-97.744992,21.0,"30.27048,-97.74467",,0.9479564787339269,1.0,
8th/Lavaca,30.27048,-97.74467,2,7,"30.27048,-97.74467",Luby's Etc,Café,30.270263,-97.745076,54.0,"30.27048,-97.74467",,0.0635568743818002,2.0,
8th/Lavaca,30.27048,-97.74467,2,7,"30.27048,-97.74467",Athenian Grill,Bar,30.269574,-97.743526,148.0,"30.27048,-97.74467",,,,
8th/Lavaca,30.27048,-97.74467,2,7,"30.27048,-97.74467",The Iron Bear,Night Club,30.269989,-97.743255,224.0,"30.27048,-97.74467",7.4,0.9868328387734916,1.0,
2nd/Lavaca @ City Hall,30.26476,-97.74678,6,12,"30.26476,-97.74678",Taverna,Pizzeria,30.265016,-97.746305,56.0,"30.26476,-97.74678",8.3,0.978278931750742,2.0,
2nd/Lavaca @ City Hall,30.26476,-97.74678,6,12,"30.26476,-97.74678",Mooby’s,Theme Restaurant,30.265194,-97.747115,57.0,"30.26476,-97.74678",,0.0855232443125618,,
2nd/Lavaca @ City Hall,30.26476,-97.74678,6,12,"30.26476,-97.74678",III Forks,Steakhouse,30.264236,-97.746703,60.0,"30.26476,-97.74678",7.8,0.9643679525222552,4.0,
2nd/Lavaca @ City Hall,30.26476,-97.74678,6,12,"30.26476,-97.74678",The Secret Room,Hotel Bar,30.265477,-97.746648,64.0,"30.26476,-97.74678",,0.1162017804154302,3.0,
2nd/Lavaca @ City Hall,30.26476,-97.74678,6,12,"30.26476,-97.74678",Lavaca 514,Night Club,30.265359,-97.746804,66.0,"30.26476,-97.74678",,,,
2nd/Lavaca @ City Hall,30.26476,-97.74678,6,12,"30.26476,-97.74678",Jo's Coffee,Coffee Shop,30.264751,-97.746139,67.0,"30.26476,-97.74678",8.5,0.9824411473788328,1.0,
2nd/Lavaca @ City Hall,30.26476,-97.74678,6,12,"30.26476,-97.74678",Cru Wine Bar,Wine Bar,30.264751,-97.746139,69.0,"30.26476,-97.74678",8.2,0.9141918892185954,2.0,
2nd/Lavaca @ City Hall,30.26476,-97.74678,6,12,"30.26476,-97.74678",Living Room,Hotel Bar,30.265341,-97.746669,79.0,"30.26476,-97.74678",7.7,0.9673115727002968,3.0,
2nd/Lavaca @ City Hall,30.26476,-97.74678,6,12,"30.26476,-97.74678",Trace,New American Restaurant,30.265376,-97.746939,91.0,"30.26476,-97.74678",7.1,0.9670662710187932,3.0,
2nd/Lavaca @ City Hall,30.26476,-97.74678,6,12,"30.26476,-97.74678",Malverde,Lounge,30.265526,-97.747814,101.0,"30.26476,-97.74678",7.5,0.8681384767556874,3.0,
2nd/Lavaca @ City Hall,30.26476,-97.74678,6,12,"30.26476,-97.74678",Serve Gourmet,Restaurant,30.265574,-97.745804,104.0,"30.26476,-97.74678",,0.5173254203758655,,
2nd/Lavaca @ City Hall,30.26476,-97.74678,6,12,"30.26476,-97.74678",Upstairs Circus Atx Ll,Arts and Entertainment,30.264902,-97.745702,104.0,"30.26476,-97.74678",,,,
2nd/Lavaca @ City Hall,30.26476,-97.74678,6,12,"30.26476,-97.74678",The Secret Bar,Arts and Entertainment,30.265563,-97.746772,109.0,"30.26476,-97.74678",6.7,0.8803877349159248,3.0,
2nd/Lavaca @ City Hall,30.26476,-97.74678,6,12,"30.26476,-97.74678",Which Wich,Restaurant,30.265703,-97.745991,114.0,"30.26476,-97.74678",7.0,0.8555252225519288,1.0,
2nd/Lavaca @ City Hall,30.26476,-97.74678,6,12,"30.26476,-97.74678",Lamberts Downtown Barbecue,Music Venue,30.265197,-97.747862,116.0,"30.26476,-97.74678",8.5,0.9798219584569732,3.0,
2nd/Lavaca @ City Hall,30.26476,-97.74678,6,12,"30.26476,-97.74678",Mama Fu's Takeout & Delivery,Restaurant,30.263968,-97.745985,116.0,"30.26476,-97.74678",,,,
2nd/Lavaca @ City Hall,30.26476,-97.74678,6,12,"30.26476,-97.74678",La Condesa,Mexican Restaurant,30.265501,-97.747887,120.0,"30.26476,-97.74678",8.4,0.9734915924826903,3.0,
2nd/Lavaca @ City Hall,30.26476,-97.74678,6,12,"30.26476,-97.74678",Edge Rooftop,Cocktail Bar,30.265749,-97.746606,120.0,"30.26476,-97.74678",,0.8876676557863501,2.0,
2nd/Lavaca @ City Hall,30.26476,-97.74678,6,12,"30.26476,-97.74678",Popbar,Ice Cream Parlor,30.265617,-97.745867,142.0,"30.26476,-97.74678",,0.5952759643916914,1.0,
2nd/Lavaca @ City Hall,30.26476,-97.74678,6,12,"30.26476,-97.74678",Peli Peli,American Restaurant,30.265385,-97.74542,147.0,"30.26476,-97.74678",,,,
2nd/Lavaca @ City Hall,30.26476,-97.74678,6,12,"30.26476,-97.74678",Bar Chi Sushi,Sushi Restaurant,30.265052,-97.745264,154.0,"30.26476,-97.74678",7.6,0.9693689416419388,2.0,
2nd/Lavaca @ City Hall,30.26476,-97.74678,6,12,"30.26476,-97.74678",Violet Crown Cinemas,Drive-in Theater,30.265519,-97.748022,159.0,"30.26476,-97.74678",8.8,0.9795529179030664,,
2nd/Lavaca @ City Hall,30.26476,-97.74678,6,12,"30.26476,-97.74678",Sweetgreen,Restaurant,30.264904,-97.745674,224.0,"30.26476,-97.74678",7.8,0.9719643916913948,1.0,
Dean Keeton/Speedway,30.2896,-97.7366,3,12,"30.2896,-97.7366",Texas Coffee Trad,Coffee Shop,30.288993,-97.736435,93.0,"30.2896,-97.7366",6.1,0.9240593471810088,1.0,
Lake Austin/Enfield,30.29439,-97.78375,2,11,"30.29439,-97.78375",Hula Hut,Hawaiian Restaurant,30.295315,-97.78427,75.0,"30.29439,-97.78375",8.3,0.9939149357072206,2.0,
Lake Austin/Enfield,30.29439,-97.78375,2,11,"30.29439,-97.78375",Abel's on the Lake,American Restaurant,30.295358,-97.784333,115.0,"30.29439,-97.78375",6.1,0.9469990108803166,2.0,
Lake Austin/Enfield,30.29439,-97.78375,2,11,"30.29439,-97.78375",Mozart's Coffee Roasters,Bakery,30.295315,-97.78427,131.0,"30.29439,-97.78375",9.2,0.9983382789317508,1.0,
Lake Austin/Enfield,30.29439,-97.78375,2,11,"30.29439,-97.78375",Austin Party Cruises,Restaurant,30.294979,-97.783563,325.0,"30.29439,-97.78375",,0.8977408506429277,,
Lake Austin Blvd/Deep Eddy,30.27807,-97.77272,6,5,"30.27807,-97.77272",68 Degree Kitchen,Italian Restaurant,30.277957,-97.773015,25.0,"30.27807,-97.77272",6.6,0.9252383778437192,2.0,
Lake Austin Blvd/Deep Eddy,30.27807,-97.77272,6,5,"30.27807,-97.77272",Deep Eddy Cabaret,Night Club,30.277682,-97.772505,27.0,"30.27807,-97.77272",7.7,0.9516834817012858,1.0,
Lake Austin Blvd/Deep Eddy,30.27807,-97.77272,6,5,"30.27807,-97.77272",Pool Burger,Restaurant,30.277682,-97.772505,32.0,"30.27807,-97.77272",7.8,0.9503461918892186,1.0,
Lake Austin Blvd/Deep Eddy,30.27807,-97.77272,6,5,"30.27807,-97.77272",Thundercloud Sub,Deli,30.277994,-97.771973,65.0,"30.27807,-97.77272",8.3,0.9654915924826905,1.0,
Lake Austin Blvd/Deep Eddy,30.27807,-97.77272,6,5,"30.27807,-97.77272",JuiceLand,Vegan and Vegetarian Restaurant,30.277604,-97.772172,80.0,"30.27807,-97.77272",8.8,0.9631968348170128,2.0,
Lake Austin Blvd/Deep Eddy,30.27807,-97.77272,6,5,"30.27807,-97.77272","John Howard, Lpc, Lmft",Restaurant,30.278845,-97.772118,103.0,"30.27807,-97.77272",,,,
Lake Austin Blvd/Deep Eddy,30.27807,-97.77272,6,5,"30.27807,-97.77272",Tumble 22,Fried Chicken Joint,30.277855,-97.771443,110.0,"30.27807,-97.77272",7.9,0.9930286844708208,1.0,
Red River/Cesar Chavez @ The Fairmont,30.26211,-97.73875,2,11,"30.26211,-97.73875",Garrison,American Restaurant,30.26207,-97.738411,19.0,"30.26211,-97.73875",6.6,0.9543659742828884,2.0,
Red River/Cesar Chavez @ The Fairmont,30.26211,-97.73875,2,11,"30.26211,-97.73875",Revue,Bar,30.26207,-97.738411,20.0,"30.26211,-97.73875",,0.9468486646884272,,
Red River/Cesar Chavez @ The Fairmont,30.26211,-97.73875,2,11,"30.26211,-97.73875",Iron Works Barbecue,Restaurant,30.262141,-97.738952,22.0,"30.26211,-97.73875",7.9,0.9846726013847676,2.0,
Red River/Cesar Chavez @ The Fairmont,30.26211,-97.73875,2,11,"30.26211,-97.73875",Rules & Regs,Cocktail Bar,30.262163,-97.738327,41.0,"30.26211,-97.73875",6.2,0.9607359050445105,3.0,
Red River/Cesar Chavez @ The Fairmont,30.26211,-97.73875,2,11,"30.26211,-97.73875",Fulton,Hotel Bar,30.262206,-97.73839,52.0,"30.26211,-97.73875",6.7,0.9730009891196836,3.0,
Red River/Cesar Chavez @ The Fairmont,30.26211,-97.73875,2,11,"30.26211,-97.73875",Good Things,Café,30.262095,-97.738338,53.0,"30.26211,-97.73875",6.5,0.9463659742828884,1.0,
Red River/Cesar Chavez @ The Fairmont,30.26211,-97.73875,2,11,"30.26211,-97.73875",Downtown Burgers,Burger Joint,30.261951,-97.739879,102.0,"30.26211,-97.73875",,0.9367200791295748,1.0,
Red River/Cesar Chavez @ The Fairmont,30.26211,-97.73875,2,11,"30.26211,-97.73875",The Alibi,Sports Bar,30.260811,-97.73833,142.0,"30.26211,-97.73875",6.6,0.8796360039564788,2.0,
Red River/Cesar Chavez @ The Fairmont,30.26211,-97.73875,2,11,"30.26211,-97.73875",Tommy Want Wingy,American Restaurant,30.260811,-97.73833,165.0,"30.26211,-97.73875",,0.1189871414441147,1.0,
Red River/Cesar Chavez @ The Fairmont,30.26211,-97.73875,2,11,"30.26211,-97.73875",Sosa Mediterranean Foods,Mediterranean Restaurant,30.261951,-97.739879,1421.0,"30.26211,-97.73875",,0.8893926805143423,1.0,
South Congress/Barton Springs @ The Austin American-Statesman,30.25872,-97.74614,2,11,"30.25872,-97.74614",Copper Restaurant,Bistro,30.258581,-97.746684,71.0,"30.25872,-97.74614",,0.8647438180019782,3.0,
South Congress/Barton Springs @ The Austin American-Statesman,30.25872,-97.74614,2,11,"30.25872,-97.74614",Soco Bar & Bites,Cocktail Bar,30.258567,-97.7471,72.0,"30.25872,-97.74614",,0.64162215628091,1.0,
South Congress/Barton Springs @ The Austin American-Statesman,30.25872,-97.74614,2,11,"30.25872,-97.74614",Barrr,Beer Bar,30.259361,-97.746286,83.0,"30.25872,-97.74614",,0.8688189910979228,,
South Congress/Barton Springs @ The Austin American-Statesman,30.25872,-97.74614,2,11,"30.25872,-97.74614",Hyatt Regency-Marker 10 Spirits & Cuisine,Bar,30.259178,-97.747005,97.0,"30.25872,-97.74614",,,,
Sterzing/Barton Springs,30.26406,-97.76385,3,7,"30.26406,-97.76385",Holla Mode Thai Style Ice Cream,Ice Cream Parlor,30.264249,-97.763682,15.0,"30.26406,-97.76385",6.9,0.9562650840751732,1.0,
Sterzing/Barton Springs,30.26406,-97.76385,3,7,"30.26406,-97.76385",Chuy's,Tex-Mex Restaurant,30.26377,-97.763204,55.0,"30.26406,-97.76385",8.8,0.9958773491592484,2.0,
Sterzing/Barton Springs,30.26406,-97.76385,3,7,"30.26406,-97.76385",Four Brothers,Vegan and Vegetarian Restaurant,30.263827,-97.76285,99.0,"30.26406,-97.76385",,,,
Sterzing/Barton Springs,30.26406,-97.76385,3,7,"30.26406,-97.76385",Cannone Cucina Italiano,Pizzeria,30.263827,-97.76285,99.0,"30.26406,-97.76385",,,,
Sterzing/Barton Springs,30.26406,-97.76385,3,7,"30.26406,-97.76385",Have A Taco,Mexican Restaurant,30.26365,-97.762898,102.0,"30.26406,-97.76385",,,,
Sterzing/Barton Springs,30.26406,-97.76385,3,7,"30.26406,-97.76385",Acai Hut,Restaurant,30.263827,-97.76285,107.0,"30.26406,-97.76385",,0.375564787339268,1.0,
Sterzing/Barton Springs,30.26406,-97.76385,3,7,"30.26406,-97.76385",The Original New Orleans Po-Boy and Gumbo Shop,Cajun / Creole Restaurant,30.263598,-97.762954,111.0,"30.26406,-97.76385",7.4,0.1330326409495549,1.0,
Sterzing/Barton Springs,30.26406,-97.76385,3,7,"30.26406,-97.76385",Mighty Fine Burgers Fries & Shakes,Burger Joint,30.26358,-97.762819,112.0,"30.26406,-97.76385",,,,
Sterzing/Barton Springs,30.26406,-97.76385,3,7,"30.26406,-97.76385",Big Easy Bar and Grill,Restaurant,30.263501,-97.762817,117.0,"30.26406,-97.76385",,,,
Sterzing/Barton Springs,30.26406,-97.76385,3,7,"30.26406,-97.76385",Dock & Roll Diner,Diner,30.263827,-97.76285,121.0,"30.26406,-97.76385",7.8,0.0158971315529179,1.0,
Sterzing/Barton Springs,30.26406,-97.76385,3,7,"30.26406,-97.76385",Umlauf Sculpture Garden and Museum,Museum,30.264197,-97.76514,124.0,"30.26406,-97.76385",,,,
Sterzing/Barton Springs,30.26406,-97.76385,3,7,"30.26406,-97.76385",Pop Art,Ice Cream Parlor,30.263402,-97.762778,126.0,"30.26406,-97.76385",,,,
Sterzing/Barton Springs,30.26406,-97.76385,3,7,"30.26406,-97.76385",The Mighty Cone,Ice Cream Parlor,30.26358,-97.762819,380.0,"30.26406,-97.76385",8.0,0.6254955489614243,1.0,
Sterzing/Barton Springs,30.26406,-97.76385,3,7,"30.26406,-97.76385",Daily Juice,Deli,30.263702,-97.763215,721.0,"30.26406,-97.76385",,0.7887161226508408,1.0,
8th/Congress,30.26978,-97.74224,2,9,"30.26978,-97.74224",Chi'Lantro,Fast Food Restaurant,30.270176,-97.741776,21.0,"30.26978,-97.74224",8.3,0.1364352126607319,1.0,
8th/Congress,30.26978,-97.74224,2,9,"30.26978,-97.74224",Caffé Medici,Coffee Shop,30.270247,-97.742317,38.0,"30.26978,-97.74224",8.6,0.9091196834817012,1.0,
8th/Congress,30.26978,-97.74224,2,9,"30.26978,-97.74224",Hickory Street,Restaurant,30.270015,-97.74187,44.0,"30.26978,-97.74224",,,,
8th/Congress,30.26978,-97.74224,2,9,"30.26978,-97.74224",Paramount Theatre for The Performing Arts,Music Venue,30.269403,-97.741965,49.0,"30.26978,-97.74224",,,,
8th/Congress,30.26978,-97.74224,2,9,"30.26978,-97.74224",Chipotle Mexican Grill,Fast Food Restaurant,30.270015,-97.74187,57.0,"30.26978,-97.74224",7.6,0.974164193867458,1.0,
8th/Congress,30.26978,-97.74224,2,9,"30.26978,-97.74224",The Contemporary Austin - Jones Center,Museum,30.269177,-97.742621,76.0,"30.26978,-97.74224",8.6,0.9716003956478734,,
8th/Congress,30.26978,-97.74224,2,9,"30.26978,-97.74224",Contemporary Austin,Museum,30.269177,-97.742621,76.0,"30.26978,-97.74224",,,,
8th/Congress,30.26978,-97.74224,2,9,"30.26978,-97.74224",The Contemporary Austin La Dolce Vita,Art Museum,30.269177,-97.742621,76.0,"30.26978,-97.74224",,,,
8th/Congress,30.26978,-97.74224,2,9,"30.26978,-97.74224",Roaring Fork,American Restaurant,30.269081,-97.742153,83.0,"30.26978,-97.74224",7.7,0.9716478733926804,2.0,
8th/Congress,30.26978,-97.74224,2,9,"30.26978,-97.74224",Stephen F's Bar & Terrace,Hotel Bar,30.269174,-97.74207,85.0,"30.26978,-97.74224",7.1,0.9412462908011868,3.0,
8th/Congress,30.26978,-97.74224,2,9,"30.26978,-97.74224",Biderman's Deli,Bagel Shop,30.26984,-97.741069,94.0,"30.26978,-97.74224",7.2,0.2436636993076162,1.0,
8th/Congress,30.26978,-97.74224,2,9,"30.26978,-97.74224",Upstairs at Caroline,Cocktail Bar,30.268716,-97.742279,107.0,"30.26978,-97.74224",8.4,0.934061325420376,,
8th/Congress,30.26978,-97.74224,2,9,"30.26978,-97.74224",Chi Lantro Catering Ll,BBQ Joint,30.27048,-97.741452,108.0,"30.26978,-97.74224",,,,
8th/Congress,30.26978,-97.74224,2,9,"30.26978,-97.74224",Small Victory,Cocktail Bar,30.268899,-97.74156,120.0,"30.26978,-97.74224",8.1,0.9544292779426312,3.0,
8th/Congress,30.26978,-97.74224,2,9,"30.26978,-97.74224",Product Test,Cajun / Creole Restaurant,30.26924,-97.741157,120.0,"30.26978,-97.74224",,,,
8th/Congress,30.26978,-97.74224,2,9,"30.26978,-97.74224",Lucky Lab Coffee Co.,Coffee Shop,30.269321,-97.74108,124.0,"30.26978,-97.74224",,0.8974401582591494,1.0,
8th/Congress,30.26978,-97.74224,2,9,"30.26978,-97.74224",Athenian Grill,Bar,30.269574,-97.743526,125.0,"30.26978,-97.74224",,,,
8th/Congress,30.26978,-97.74224,2,9,"30.26978,-97.74224",The Hideout Th,Café,30.268555,-97.742373,136.0,"30.26978,-97.74224",,,,
8th/Congress,30.26978,-97.74224,2,9,"30.26978,-97.74224",Perrys Steak House And,Steakhouse,30.269395,-97.743485,145.0,"30.26978,-97.74224",8.7,0.9960672601384768,3.0,
8th/Congress,30.26978,-97.74224,2,9,"30.26978,-97.74224",Slake Cafe,Café,30.268881,-97.741425,152.0,"30.26978,-97.74224",8.0,0.9492779426310584,1.0,
8th/Congress,30.26978,-97.74224,2,9,"30.26978,-97.74224",The Iron Bear,Night Club,30.269989,-97.743255,303.0,"30.26978,-97.74224",7.4,0.9868328387734916,1.0,
4th/Congress,30.26634,-97.74378,9,4,"30.26634,-97.74378",Newk's Franchise,Restaurant,30.266599,-97.743545,36.0,"30.26634,-97.74378",,,,
4th/Congress,30.26634,-97.74378,9,4,"30.26634,-97.74378",The Bar At The Fish Factory,Bar,30.266273,-97.743211,41.0,"30.26634,-97.74378",,0.7310385756676557,2.0,
4th/Congress,30.26634,-97.74378,9,4,"30.26634,-97.74378",Modern Market Eatery,Restaurant,30.266273,-97.743211,45.0,"30.26634,-97.74378",8.5,0.9790544015825916,3.0,
4th/Congress,30.26634,-97.74378,9,4,"30.26634,-97.74378",Speakeasy,Night Club,30.266777,-97.743616,49.0,"30.26634,-97.74378",7.2,0.9856617210682492,,
4th/Congress,30.26634,-97.74378,9,4,"30.26634,-97.74378",RA Sushi Bar Restaurant,Bar,30.266383,-97.744574,62.0,"30.26634,-97.74378",7.4,0.9828288822947576,2.0,
4th/Congress,30.26634,-97.74378,9,4,"30.26634,-97.74378",Terrace 59,Arts and Entertainment,30.266906,-97.743803,62.0,"30.26634,-97.74378",,0.6218160237388725,,
4th/Congress,30.26634,-97.74378,9,4,"30.26634,-97.74378",Swift's Attic,Gastropub,30.265611,-97.743452,73.0,"30.26634,-97.74378",8.0,0.9428605341246292,3.0,
4th/Congress,30.26634,-97.74378,9,4,"30.26634,-97.74378",Houndstooth Coffee,Coffee Shop,30.266298,-97.743138,74.0,"30.26634,-97.74378",8.9,0.9952047477744808,1.0,
4th/Congress,30.26634,-97.74378,9,4,"30.26634,-97.74378",Appleseed,Restaurant,30.265772,-97.743358,74.0,"30.26634,-97.74378",,,,
4th/Congress,30.26634,-97.74378,9,4,"30.26634,-97.74378",Elephant Room,Night Club,30.265611,-97.743452,76.0,"30.26634,-97.74378",8.8,0.9590029673590504,,
4th/Congress,30.26634,-97.74378,9,4,"30.26634,-97.74378",Mort Subite,Beer Bar,30.265843,-97.743899,76.0,"30.26634,-97.74378",8.6,0.9602215628091,,
4th/Congress,30.26634,-97.74378,9,4,"30.26634,-97.74378",Parker Jazz Club,Jazz and Blues Venue,30.266222,-97.744668,79.0,"30.26634,-97.74378",7.6,0.9612185954500496,2.0,
4th/Congress,30.26634,-97.74378,9,4,"30.26634,-97.74378",Benihana,Restaurant,30.26633,-97.74464,82.0,"30.26634,-97.74378",,,,
4th/Congress,30.26634,-97.74378,9,4,"30.26634,-97.74378",Saperlipopette,Restaurant,30.265614,-97.744003,83.0,"30.26634,-97.74378",,,,
4th/Congress,30.26634,-97.74378,9,4,"30.26634,-97.74378",Tap Room,Beer Bar,30.266222,-97.744668,86.0,"30.26634,-97.74378",,,,
4th/Congress,30.26634,-97.74378,9,4,"30.26634,-97.74378",Lost Lei,Cocktail Bar,30.266265,-97.744731,93.0,"30.26634,-97.74378",5.8,0.8398733926805143,,
4th/Congress,30.26634,-97.74378,9,4,"30.26634,-97.74378",Shiner's Saloon,Dive Bar,30.26687,-97.743532,97.0,"30.26634,-97.74378",8.1,0.977938674579624,1.0,
4th/Congress,30.26634,-97.74378,9,4,"30.26634,-97.74378",TenOak bourbon house + lounge,Cocktail Bar,30.266995,-97.744479,98.0,"30.26634,-97.74378",,,,
4th/Congress,30.26634,-97.74378,9,4,"30.26634,-97.74378",B-Side Lounge & Tap Room,Bar,30.26595,-97.74471,99.0,"30.26634,-97.74378",,,,
4th/Congress,30.26634,-97.74378,9,4,"30.26634,-97.74378",Mexic-Arte Museum,Art Museum,30.266824,-97.742918,101.0,"30.26634,-97.74378",7.6,0.9698674579624136,,
